"data_all_max","max_people","max_experiments","max_coords"
44.7841303216247,"p5","e11","z"
58.7485751990122,"p6","e11","x"
-0.520153048601957,"p7","e11","y"
43.7180927587279,"p8","e11","z"
60.6707093026616,"p9","e11","x"
0.765086809176916,"p10","e11","y"
44.6187815059122,"p1","e12","z"
59.6493825192462,"p2","e12","x"
-0.0414924770484442,"p3","e12","y"
44.4099114907831,"p4","e12","z"
60.1322616430347,"p5","e12","x"
0.519188643260594,"p6","e12","y"
44.5095450460452,"p7","e12","z"
59.2851976721858,"p8","e12","x"
0.447739261805098,"p9","e12","y"
42.8965523299573,"p10","e12","z"
59.7443162381641,"p1","e13","x"
0.473641722511259,"p2","e13","y"
50.9056475327024,"p3","e13","z"
58.8808986654562,"p4","e13","x"
3.63698352900965,"p5","e13","y"
44.1938208316554,"p6","e13","z"
58.7699960529225,"p7","e13","x"
5.06245070024472,"p8","e13","y"
41.4377887819395,"p9","e13","z"
58.4797032568803,"p10","e13","x"
1.94192787909759,"p1","e14","y"
40.4704868136849,"p2","e14","z"
59.8018470708497,"p3","e14","x"
1.55603789233792,"p4","e14","y"
43.9910546342229,"p5","e14","z"
59.0266225365323,"p6","e14","x"
3.8251611400493,"p7","e14","y"
42.0710745145351,"p8","e14","z"
58.9761065190941,"p9","e14","x"
3.36362402944816,"p10","e14","y"
42.4558782638405,"p1","e15","z"
59.7198167291575,"p2","e15","x"
2.83900518844217,"p3","e15","y"
42.9272856010732,"p4","e15","z"
59.1974290405718,"p5","e15","x"
2.02004149154714,"p6","e15","y"
43.3432623806537,"p7","e15","z"
59.4561684515935,"p8","e15","x"
2.29464305827496,"p9","e15","y"
40.4069831274044,"p10","e15","z"
59.1474184186343,"p1","e16","x"
0.703477578406435,"p2","e16","y"
40.1376211464911,"p3","e16","z"
58.8292846602783,"p4","e16","x"
1.9136775548751,"p5","e16","y"
42.7041411599476,"p6","e16","z"
59.8437507990565,"p7","e16","x"
1.0193404261461,"p8","e16","y"
39.8096188537277,"p9","e16","z"
60.2293775437261,"p10","e16","x"
-0.145390056422685,"p1","e1","y"
40.8453947128272,"p2","e1","z"
60.326770630773,"p3","e1","x"
0.331735709915374,"p4","e1","y"
42.7235720533739,"p5","e1","z"
59.6153941558529,"p6","e1","x"
0.69386632796227,"p7","e1","y"
39.1074945687729,"p8","e1","z"
60.0865248597348,"p9","e1","x"
1.07265812189834,"p10","e1","y"
41.2440655728436,"p1","e2","z"
59.3370235989198,"p2","e2","x"
0.787620698666294,"p3","e2","y"
43.9698875922205,"p4","e2","z"
59.0506149039915,"p5","e2","x"
-0.512465352939666,"p6","e2","y"
43.4511995709763,"p7","e2","z"
58.7782208180208,"p8","e2","x"
0.286666442865095,"p9","e2","y"
39.0279921635747,"p10","e2","z"
60.4415284749955,"p1","e3","x"
0.345871460258331,"p2","e3","y"
41.6024430932706,"p3","e3","z"
59.9034216301531,"p4","e3","x"
-0.589342929981964,"p5","e3","y"
44.1594952595165,"p6","e3","z"
60.2301435020141,"p7","e3","x"
-0.086968759266885,"p8","e3","y"
42.3099371667034,"p9","e3","z"
60.0570176509385,"p10","e3","x"
-0.570803715228478,"p1","e4","y"
40.4330987404686,"p2","e4","z"
58.991843335652,"p3","e4","x"
-0.515074542312759,"p4","e4","y"
42.5747805998162,"p5","e4","z"
59.5761983451265,"p6","e4","x"
-0.669031742345004,"p7","e4","y"
42.1600938279547,"p8","e4","z"
58.9839711251808,"p9","e4","x"
0.826724448746479,"p10","e4","y"
38.4346847597132,"p1","e5","z"
60.2981267484389,"p2","e5","x"
0.844463682591692,"p3","e5","y"
41.1516850581318,"p4","e5","z"
60.3708563161107,"p5","e5","x"
0.0905320766675573,"p6","e5","y"
41.9629292031265,"p7","e5","z"
60.1115359234821,"p8","e5","x"
-0.307873811081194,"p9","e5","y"
41.2230603983035,"p10","e5","z"
61.2214555919538,"p1","e6","x"
0.422997430733981,"p2","e6","y"
39.6386072610769,"p3","e6","z"
60.1702988162257,"p4","e6","x"
0.456039233646928,"p5","e6","y"
42.2453914579511,"p6","e6","z"
60.0615177860869,"p7","e6","x"
0.784687957717368,"p8","e6","y"
40.0569338526672,"p9","e6","z"
60.052799964961,"p10","e6","x"
1.49064070496002,"p1","e7","y"
40.4680905943136,"p2","e7","z"
59.9013314089014,"p3","e7","x"
-0.0576132619833945,"p4","e7","y"
39.5640766791538,"p5","e7","z"
60.448027108233,"p6","e7","x"
0.518660985209251,"p7","e7","y"
40.2603559307604,"p8","e7","z"
59.8508528064161,"p9","e7","x"
0.384184616777286,"p10","e7","y"
38.3381524184234,"p1","e8","z"
59.7960964184824,"p2","e8","x"
0.478768064418252,"p3","e8","y"
39.0076073292341,"p4","e8","z"
59.5490760321548,"p5","e8","x"
0.328151505416158,"p6","e8","y"
39.5964008727773,"p7","e8","z"
59.0011988949759,"p8","e8","x"
0.013759041930523,"p9","e8","y"
41.8721126657979,"p10","e8","z"
59.7161333569904,"p1","e9","x"
0.601827090088932,"p2","e9","y"
53.5892438472326,"p3","e9","z"
