"data_all_energy","energy_people","energy_experiments"
3453.5371940019,"p8","e1"
3374.77804311081,"p8","e1"
3318.28631847478,"p8","e1"
3201.25298944678,"p8","e1"
3200.78785885891,"p8","e1"
3826.29247737717,"p9","e1"
3606.49907678042,"p9","e1"
3669.1598189096,"p9","e1"
3635.87698870494,"p9","e1"
3592.65023571206,"p9","e1"
3707.66452910536,"p9","e1"
3515.00639364511,"p9","e1"
3729.34861135445,"p9","e1"
3698.54149100756,"p9","e1"
3467.36686066564,"p9","e1"
3486.87506454363,"p10","e1"
3719.66027617904,"p10","e1"
2886.23549824374,"p10","e1"
3605.10759226269,"p10","e1"
3314.95464882155,"p10","e1"
3658.1673201208,"p10","e1"
3650.19369477037,"p10","e1"
3596.71769411182,"p10","e1"
3157.22935953814,"p10","e1"
3697.47160215314,"p10","e1"
3638.0077874862,"p1","e2"
3695.39216454397,"p1","e2"
3841.54086416831,"p1","e2"
3535.83396489358,"p1","e2"
3863.67315466714,"p1","e2"
3645.66126473704,"p1","e2"
3646.32619803277,"p1","e2"
3632.14099680996,"p1","e2"
3748.41019518443,"p1","e2"
3436.36901131764,"p1","e2"
3352.7216508076,"p2","e2"
3747.33863474815,"p2","e2"
3416.27762821357,"p2","e2"
3595.08302806205,"p2","e2"
3629.6968098889,"p2","e2"
3553.44856998662,"p2","e2"
3532.98297384507,"p2","e2"
3515.5333267991,"p2","e2"
3571.9070120322,"p2","e2"
3416.55785159017,"p2","e2"
3613.89797373664,"p3","e2"
3696.38194034395,"p3","e2"
3535.14189311025,"p3","e2"
3736.19884474546,"p3","e2"
3112.52210219868,"p3","e2"
3637.72874065176,"p3","e2"
3505.71616693519,"p3","e2"
3590.55703934084,"p3","e2"
3796.64815408591,"p3","e2"
3649.49862254659,"p3","e2"
3781.58435773137,"p4","e2"
3406.47049402714,"p4","e2"
3566.12897027054,"p4","e2"
3645.90451975137,"p4","e2"
3640.71659284615,"p4","e2"
3658.65897009198,"p4","e2"
3790.54379785601,"p4","e2"
3588.43334852299,"p4","e2"
3559.37196734533,"p4","e2"
3860.84516024108,"p4","e2"
3950.21397137905,"p5","e2"
3813.78389336682,"p5","e2"
3574.21115452831,"p5","e2"
3452.0978994826,"p5","e2"
3540.6879180124,"p5","e2"
3816.17959922583,"p5","e2"
3618.78995645913,"p5","e2"
3716.94318964141,"p5","e2"
3786.10759498093,"p5","e2"
3636.22726627927,"p5","e2"
3817.11128284042,"p6","e2"
3710.12257984109,"p6","e2"
3780.24451384163,"p6","e2"
3437.78147681946,"p6","e2"
3651.74497000008,"p6","e2"
3729.1662022989,"p6","e2"
3389.75921039681,"p6","e2"
3681.85354964816,"p6","e2"
3607.10154455686,"p6","e2"
3670.11945325812,"p6","e2"
3536.25383783517,"p7","e2"
3524.11541595703,"p7","e2"
3693.56625904155,"p7","e2"
3548.47539869426,"p7","e2"
3556.50888759075,"p7","e2"
3653.75995828459,"p7","e2"
3750.41292829904,"p7","e2"
3542.39068418603,"p7","e2"
3695.74838961726,"p7","e2"
3531.02238040423,"p7","e2"
3773.94258850382,"p8","e2"
3602.84432232456,"p8","e2"
3456.98544110545,"p8","e2"
3635.91155818049,"p8","e2"
3433.86456882773,"p8","e2"
3539.79118378194,"p8","e2"
3346.70920796419,"p8","e2"
3595.7212998505,"p8","e2"
3422.65000522257,"p8","e2"
3312.9207756727,"p8","e2"
3923.56340823807,"p9","e2"
3910.3733990156,"p9","e2"
4264.33257073103,"p9","e2"
3985.91346149774,"p9","e2"
3932.52204051838,"p9","e2"
3800.56025328772,"p9","e2"
3723.11912798513,"p9","e2"
3981.19403884847,"p9","e2"
3813.94409354872,"p9","e2"
3592.36796389709,"p9","e2"
3728.39623196885,"p10","e2"
3593.9875816228,"p10","e2"
3537.44562425663,"p10","e2"
3387.48683970102,"p10","e2"
3428.90984236494,"p10","e2"
3673.33439399585,"p10","e2"
3553.31041007361,"p10","e2"
3505.68367073214,"p10","e2"
3430.58993508285,"p10","e2"
3778.13198693236,"p10","e2"
4029.7737834987,"p1","e3"
3883.37236350205,"p1","e3"
3872.32237058896,"p1","e3"
4138.83319473201,"p1","e3"
3920.8262080906,"p1","e3"
3878.04003156634,"p1","e3"
3900.96412956635,"p1","e3"
3781.20020987257,"p1","e3"
3935.25382790125,"p1","e3"
3978.9484677972,"p1","e3"
3768.98265449955,"p2","e3"
3687.40091987324,"p2","e3"
3886.37791828866,"p2","e3"
3746.08256329055,"p2","e3"
3901.81212148135,"p2","e3"
3607.31692648032,"p2","e3"
3894.2342160744,"p2","e3"
3620.88111820829,"p2","e3"
3902.38970117498,"p2","e3"
3850.36180564097,"p2","e3"
3792.28524229028,"p3","e3"
3646.04354863737,"p3","e3"
3686.05555222414,"p3","e3"
3808.45168463135,"p3","e3"
3478.83267308008,"p3","e3"
3760.73943319603,"p3","e3"
3992.23962496043,"p3","e3"
3634.26799846603,"p3","e3"
3857.42140853329,"p3","e3"
3768.29309493428,"p3","e3"
3861.45039982896,"p4","e3"
3946.62528692774,"p4","e3"
3739.94439864897,"p4","e3"
3857.28109054375,"p4","e3"
3830.50090881909,"p4","e3"
3868.72848231488,"p4","e3"
3809.86695699884,"p4","e3"
3711.24464093661,"p4","e3"
3926.86565055097,"p4","e3"
3897.74046478412,"p4","e3"
4053.79345498561,"p5","e3"
3707.65763042441,"p5","e3"
3575.66988230356,"p5","e3"
3882.83460831493,"p5","e3"
3683.41802813723,"p5","e3"
3637.36912336045,"p5","e3"
3760.03329918047,"p5","e3"
3749.7166957235,"p5","e3"
4184.21561798048,"p5","e3"
4092.16173885145,"p5","e3"
3937.75434878015,"p6","e3"
3953.64642068784,"p6","e3"
3902.56671163727,"p6","e3"
3879.19915863491,"p6","e3"
3824.19579814167,"p6","e3"
3791.21664391364,"p6","e3"
3974.3630652605,"p6","e3"
4000.67141557515,"p6","e3"
