"data_all_lengths","length_people","length_experiments"
94.1310938753499,"p1","e1"
92.5492115906883,"p1","e1"
92.0793123941985,"p1","e1"
93.0269792744217,"p1","e1"
96.9199086564177,"p1","e1"
100.20360693602,"p1","e1"
103.053026954633,"p1","e1"
107.577991428385,"p1","e1"
108.525854008853,"p1","e1"
97.0735029606217,"p1","e1"
72.5915416644479,"p2","e1"
78.0384694702266,"p2","e1"
77.4469740283985,"p2","e1"
73.3285445076352,"p2","e1"
75.7045468372726,"p2","e1"
75.8974593946262,"p2","e1"
76.3126489515225,"p2","e1"
73.4745176471249,"p2","e1"
75.8807465369507,"p2","e1"
71.9257923432996,"p2","e1"
86.3211912741717,"p3","e1"
81.2585311862091,"p3","e1"
81.5402623425774,"p3","e1"
76.2684562243486,"p3","e1"
75.2231408177901,"p3","e1"
77.9121276182189,"p3","e1"
80.2204802421577,"p3","e1"
77.2502507361129,"p3","e1"
80.0621887603174,"p3","e1"
78.2863412351845,"p3","e1"
82.6592947130739,"p4","e1"
79.0645642949583,"p4","e1"
78.3801231491009,"p4","e1"
82.2470922400593,"p4","e1"
79.655106442414,"p4","e1"
78.2179863098621,"p4","e1"
81.3451442593403,"p4","e1"
80.6801690095185,"p4","e1"
81.3728348461657,"p4","e1"
78.7359918365943,"p4","e1"
90.8337975544645,"p5","e1"
82.4909235987219,"p5","e1"
82.2853429182327,"p5","e1"
77.9543542654549,"p5","e1"
84.5844420747828,"p5","e1"
79.5728393560771,"p5","e1"
78.8074775254026,"p5","e1"
80.8865185945569,"p5","e1"
81.2123257807267,"p5","e1"
75.3653830217422,"p5","e1"
77.1056897849895,"p6","e1"
78.5359090691033,"p6","e1"
75.3412362727995,"p6","e1"
78.3481997124475,"p6","e1"
81.9649046672562,"p6","e1"
74.6276988069507,"p6","e1"
79.3222121994019,"p6","e1"
82.6381992727739,"p6","e1"
80.1264327509937,"p6","e1"
74.4532498270422,"p6","e1"
78.9841123880975,"p7","e1"
82.3296329615947,"p7","e1"
79.2142928456893,"p7","e1"
74.6508448440183,"p7","e1"
78.6473585099061,"p7","e1"
78.7403552169941,"p7","e1"
74.2094349862108,"p7","e1"
78.1442051275683,"p7","e1"
79.1452301238458,"p7","e1"
76.3526437294204,"p7","e1"
75.7459065046044,"p8","e1"
82.6581648329312,"p8","e1"
78.2835248086935,"p8","e1"
77.7880746974793,"p8","e1"
77.2440901527916,"p8","e1"
80.5185652189589,"p8","e1"
75.5207859244183,"p8","e1"
79.9707187890163,"p8","e1"
76.9078872785213,"p8","e1"
80.1081844070271,"p8","e1"
95.731889102254,"p9","e1"
88.477848065604,"p9","e1"
88.8205259306417,"p9","e1"
91.9135571354273,"p9","e1"
98.5122273975201,"p9","e1"
92.3747125266162,"p9","e1"
91.0225295948454,"p9","e1"
101.132502678167,"p9","e1"
98.7607233176511,"p9","e1"
93.4409642729624,"p9","e1"
83.9648042824998,"p10","e1"
84.786120926059,"p10","e1"
78.7187304040493,"p10","e1"
81.2334110791995,"p10","e1"
83.8805571130623,"p10","e1"
85.8313878819701,"p10","e1"
84.7059713572169,"p10","e1"
89.8327989018727,"p10","e1"
80.1015671689833,"p10","e1"
81.1159731953998,"p10","e1"
96.5447746573363,"p1","e2"
101.452854286069,"p1","e2"
103.416437267647,"p1","e2"
104.985246082621,"p1","e2"
109.339143139489,"p1","e2"
104.576970151495,"p1","e2"
110.204254859519,"p1","e2"
106.38827762753,"p1","e2"
107.026679293777,"p1","e2"
101.671552642328,"p1","e2"
85.8452671878932,"p2","e2"
88.0861620756335,"p2","e2"
82.9774027556314,"p2","e2"
90.0545566411276,"p2","e2"
86.3431995949255,"p2","e2"
86.7223662065487,"p2","e2"
86.3412642470525,"p2","e2"
85.6618715614396,"p2","e2"
86.0375613820227,"p2","e2"
83.3660784077414,"p2","e2"
92.7065284892253,"p3","e2"
96.7530600437765,"p3","e2"
91.4025537944982,"p3","e2"
99.824474851236,"p3","e2"
88.2410419824638,"p3","e2"
91.3690823491826,"p3","e2"
91.6373216015776,"p3","e2"
92.0286256713315,"p3","e2"
89.6412646976652,"p3","e2"
89.2791792595614,"p3","e2"
88.473510764976,"p4","e2"
93.5601734445811,"p4","e2"
